record_id,stratum,query_family,rank_in_stratum,stable_id,title,year,domain,coder_id,coding_round,screen_stage1,opposition_valid,opposition_rationale,x_construct,opposite_construct,actor_switch,level_switch,time_switch,construct_switch,environment_switch,feedback,nonlinearity,selection_filtering,power_asymmetry,primary_mechanism,study_design,evidence_tier,causal_claim_strength,mediator,moderator,boundary_conditions,counterevidence,oci_candidate,exclusion_reason,notes
P01,conflict_security,,1,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P02,conflict_security,,2,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P03,conflict_security,,3,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P04,conflict_security,,4,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P05,conflict_security,,5,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P06,autonomy_choice,,1,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P07,autonomy_choice,,2,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P08,autonomy_choice,,3,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P09,autonomy_choice,,4,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P10,autonomy_choice,,5,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P11,information_attention,,1,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P12,information_attention,,2,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P13,information_attention,,3,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P14,information_attention,,4,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P15,information_attention,,5,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P16,backfire_iatrogenic,,1,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P17,backfire_iatrogenic,,2,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P18,backfire_iatrogenic,,3,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P19,backfire_iatrogenic,,4,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P20,backfire_iatrogenic,,5,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P21,economic_network_rebound,,1,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P22,economic_network_rebound,,2,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P23,economic_network_rebound,,3,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P24,economic_network_rebound,,4,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P25,economic_network_rebound,,5,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P26,organization_measurement,,1,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P27,organization_measurement,,2,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P28,organization_measurement,,3,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P29,organization_measurement,,4,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
P30,organization_measurement,,5,,,,,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,
